Name,RouteID
A12 - A12 M L KING HIGHWAY  (90),A12
A12 - A12 M L KING HIGHWAY  (90),A12v2
A12 - A12 M L KING HIGHWAY  (90),A12v3
A12 - A12 M L KING HIGHWAY  (90),A12v4
A2 - A2 ANAC-CONG HGTS    (581),A2
A2 - A2 ANAC-CONG HGTS    (581),A2cvS
A2 - A2 ANAC-CONG HGTS    (581),A2v1
A2 - A2 ANAC-CONG HGTS    (581),A2vS1
A31 - A31 ANAC HS (504),A31
A32 - A32 ANAC HS (504),A32
A33 - A33 ANAC HS (504),A33
A4 - A4 ANAC-FORT DRUM    (582),A4
A42 - A42 ANAC-CONG HGTS    (581),A42
A42 - A42 ANAC-CONG HGTS    (581),A42v1
A46 - A46 ANAC-CONG HGTS    (581),A46
A46 - A46 ANAC-CONG HGTS    (581),A46v1
A48 - A48 ANAC-CONG HGTS    (581),A48
A48 - A48 ANAC-CONG HGTS    (581),A48v1
A4 - A4 ANAC-FORT DRUM    (582),A4c
A4 - A4 ANAC-FORT DRUM    (582),A4cv1
A4 - A4 ANAC-FORT DRUM    (582),A4cv2
A4 - A4 ANAC-FORT DRUM    (582),A4v1
A4 - A4 ANAC-FORT DRUM    (582),A4v2
A4 - A4 ANAC-FORT DRUM    (582),A4v3
A4 - A4 ANAC-FORT DRUM    (582),A4v4
A6 - A6 ANAC-CONG HGTS    (581),A6
A6 - A6 ANAC-CONG HGTS    (581),A6v1
A7 - A7 ANAC-CONG HGTS    (581),A7
A8 - A8 ANAC-CONG HGTS    (581),A8
A8 - A8 ANAC-CONG HGTS    (581),A8v1
A9 - A9 MLK AVE LIMITED(111),A9
B2 - B2 BLAD RD-ANACOSTIA (150),B2
B21 - B21 BOWIE STATE UNIV  (20),B21
B22 - B22 BOWIE STATE UNIV  (20),B22
B22 - B22 BOWIE STATE UNIV  (20),B22v1
B24 - B24 BOWIE-BELAIR     (19),B24
B25 - B25 BOWIE-BELAIR     (19),B25
B27 - B27 BOWIE-NEW CARROLL (65),B27
B29 - B29 CROFTON - NEW  CARR (634),B29
B29 - B29 CROFTON - NEW  CARR (634),B29v1
B2 - B2 BLAD RD-ANACOSTIA (150),B2c
B2 - B2 BLAD RD-ANACOSTIA (150),B2v1
B2 - B2 BLAD RD-ANACOSTIA (150),B2vS1
B2 - B2 BLAD RD-ANACOSTIA (150),B2vS2
B30 - B30 GREENBELT-BWI (647),B30
B31 - B31 CROFTON - NEW  CARR (634),B31
B51 - B51 BROOKLAND EDU CAMPUS(513),B51
B8 - B8 FT LINCOLN SHUT   (49),B8
B8 - B8 FT LINCOLN SHUT   (49),B8c
B8 - B8 FT LINCOLN SHUT   (49),B8v1
B9 - B9 FT LINCOLN SHUT   (49),B9
C11 - C11 CLINTON           (29),C11
C12 - C12 HILLCREST HEIGHTS (63),C12
C13 - C13 CLINTON           (29),C13
C14 - C14 HILLCREST HEIGHTS (63),C14
C2 - C2 GBLT-TWINBROOK    (13),C2
C21 - C21 CENTRAL AVENUE   (152),C21
C21 - C21 CENTRAL AVENUE   (152),C21c
C21 - C21 CENTRAL AVENUE   (152),C21v1
C22 - C22 CENTRAL AVENUE   (152),C22
C22 - C22 CENTRAL AVENUE   (152),C22v1
C26 - C26 CENTRAL AVENUE   (152),C26
C26 - C26 CENTRAL AVENUE   (152),C26c
C27 - C27 CENTRAL AVE EXTRA SERVICE,C27
C28 - C28 POINTER RIDGE     (26),C28
C28 - C28 POINTER RIDGE     (26),C28v1
C29 - C29 CENTRAL AVENUE   (152),C29c
C29 - C29 CENTRAL AVENUE   (152),C29v1
C29 - C29 CENTRAL AVENUE   (152),C29v2
C29 - C29 CENTRAL AVENUE   (152),C29v4
C2 - C2 GBLT-TWINBROOK    (13),C2v2
C2 - C2 GBLT-TWINBROOK    (13),C2v3
C4 - C4 GBLT-TWINBROOK    (13),C4
C40 - C40 CAP HILL CLUSTER  (586),C40
C4 - C4 GBLT-TWINBROOK    (13),C4c
C4 - C4 GBLT-TWINBROOK    (13),C4cv1
C4 - C4 GBLT-TWINBROOK    (13),C4v3
C8 - C8 COL PK-WHITE FLNT (103),C8
C8 - C8 COL PK-WHITE FLNT (103),C8v1
C8 - C8 COL PK-WHITE FLNT (103),C8v2
C8 - C8 COL PK-WHITE FLNT (103),C8v3
D1 - D1 GLOVER PK-FED TRIANGLE(22),D1
D12 - D12 OXON HILL-SUIT    (584),D12
D12 - D12 OXON HILL-SUIT    (584),D12v1
D12 - D12 OXON HILL-SUIT    (584),D12v2
D13 - D13 OXON HILL-SUIT    (584),D13
D13 - D13 OXON HILL-SUIT    (584),D13c
D14 - D14 OXON HILL-SUIT    (584),D14
D14 - D14 OXON HILL-SUIT    (584),D14c
D14 - D14 OXON HILL-SUIT    (584),D14v1
D2 - D2 GLOV PK-DUP CIRC  (51),D2
D2 - D2 GLOV PK-DUP CIRC  (51),D2v1
D3 - D3 IVY CITY-DUPONT CIRCLE(48),D3
D31 - D31 DEAL JR HI SCH   (517),D31
D32 - D32 DEAL JR HI SCH   (517),D32
D33 - D33 DEAL JR HI SCH   (517),D33
D34 - D34 DEAL JR HI SCH   (517),D34
D3 - D3 IVY CITY-DUPONT CIRCLE(48),D3c
D4 - D4 IVY CITY-FRANKLIN SQUARE(56,D4
D5 - D5 MAC BLVD-GEOTOWN  (37),D5
D51 - D51 D ELLINGTON H S   (549),D51
D6 - D6 SIBLEY-STAD ARM   (55),D6
D6 - D6 SIBLEY-STAD ARM   (55),D6c
D6 - D6 SIBLEY-STAD ARM   (55),D6cv1
D6 - D6 SIBLEY-STAD ARM   (55),D6v1
D8 - D8 HOSPITAL CENTER  (45),D8
D8 - D8 HOSPITAL CENTER  (45),D8c
D8 - D8 HOSPITAL CENTER  (45),D8v1
E2 - E2 MIL RD-CROSSTOWN  (77),E2
E2 - E2 MIL RD-CROSSTOWN  (77),E2cv1
